# taxon distribution range models
# data save on : 2023-10-04T15:06:02-03:00
taxon	type	age	equator	pixel	density
Catharus aurantiirostris	range	0	360	16622	0.088120
Catharus aurantiirostris	range	0	360	16623	0.065732
Catharus aurantiirostris	range	0	360	16624	0.045755
Catharus aurantiirostris	range	0	360	16625	0.031437
Catharus aurantiirostris	range	0	360	16626	0.000235
Catharus aurantiirostris	range	0	360	16627	0.000267
Catharus aurantiirostris	range	0	360	16628	0.039049
Catharus aurantiirostris	range	0	360	16629	0.049072
Catharus aurantiirostris	range	0	360	16630	0.000491
Catharus aurantiirostris	range	0	360	16631	0.000390
Catharus aurantiirostris	range	0	360	16632	0.000390
Catharus aurantiirostris	range	0	360	16633	0.000027
Catharus aurantiirostris	range	0	360	16634	0.000157
Catharus aurantiirostris	range	0	360	16962	0.373280
Catharus aurantiirostris	range	0	360	16963	0.361217
Catharus aurantiirostris	range	0	360	16964	0.309924
Catharus aurantiirostris	range	0	360	16965	0.002557
Catharus aurantiirostris	range	0	360	16966	0.000189
Catharus aurantiirostris	range	0	360	16967	0.000119
Catharus aurantiirostris	range	0	360	16968	0.000069
Catharus aurantiirostris	range	0	360	16969	0.000046
Catharus aurantiirostris	range	0	360	16970	0.000038
Catharus aurantiirostris	range	0	360	16971	0.000046
Catharus aurantiirostris	range	0	360	16972	0.065732
Catharus aurantiirostris	range	0	360	16973	0.088120
Catharus aurantiirostris	range	0	360	16974	0.098143
Catharus aurantiirostris	range	0	360	16975	0.102026
Catharus aurantiirostris	range	0	360	16976	0.000881
Catharus aurantiirostris	range	0	360	16977	0.065732
Catharus aurantiirostris	range	0	360	16978	0.045755
Catharus aurantiirostris	range	0	360	16979	0.031437
Catharus aurantiirostris	range	0	360	16980	0.026962
Catharus aurantiirostris	range	0	360	16981	0.030097
Catharus aurantiirostris	range	0	360	16982	0.039049
Catharus aurantiirostris	range	0	360	16983	0.049072
Catharus aurantiirostris	range	0	360	16984	0.052955
Catharus aurantiirostris	range	0	360	16985	0.049072
Catharus aurantiirostris	range	0	360	16986	0.000390
Catharus aurantiirostris	range	0	360	16987	0.000267
Catharus aurantiirostris	range	0	360	16988	0.000157
Catharus aurantiirostris	range	0	360	17317	0.000288
Catharus aurantiirostris	range	0	360	17318	0.002947
Catharus aurantiirostris	range	0	360	17319	0.264047
Catharus aurantiirostris	range	0	360	17320	0.222587
Catharus aurantiirostris	range	0	360	17321	0.001774
Catharus aurantiirostris	range	0	360	17322	0.115963
Catharus aurantiirostris	range	0	360	17323	0.000659
Catharus aurantiirostris	range	0	360	17324	0.042741
Catharus aurantiirostris	range	0	360	17325	0.000349
Catharus aurantiirostris	range	0	360	17326	0.034729
Catharus aurantiirostris	range	0	360	17327	0.053367
Catharus aurantiirostris	range	0	360	17328	0.078098
Catharus aurantiirostris	range	0	360	17329	0.088120
Catharus aurantiirostris	range	0	360	17330	0.088120
Catharus aurantiirostris	range	0	360	17331	0.065732
Catharus aurantiirostris	range	0	360	17332	0.054707
Catharus aurantiirostris	range	0	360	17333	0.037987
Catharus aurantiirostris	range	0	360	17334	0.031437
Catharus aurantiirostris	range	0	360	17335	0.023548
Catharus aurantiirostris	range	0	360	17336	0.026683
Catharus aurantiirostris	range	0	360	17337	0.039049
Catharus aurantiirostris	range	0	360	17338	0.049072
Catharus aurantiirostris	range	0	360	17339	0.049072
Catharus aurantiirostris	range	0	360	17340	0.039049
Catharus aurantiirostris	range	0	360	17341	0.039049
Catharus aurantiirostris	range	0	360	17342	0.000267
Catharus aurantiirostris	range	0	360	17343	0.000157
Catharus aurantiirostris	range	0	360	17344	0.000008
Catharus aurantiirostris	range	0	360	17674	0.000218
Catharus aurantiirostris	range	0	360	17675	0.002199
Catharus aurantiirostris	range	0	360	17676	0.002019
Catharus aurantiirostris	range	0	360	17677	0.001606
Catharus aurantiirostris	range	0	360	17678	0.115963
Catharus aurantiirostris	range	0	360	17679	0.000659
Catharus aurantiirostris	range	0	360	17680	0.000349
Catharus aurantiirostris	range	0	360	17681	0.030497
Catharus aurantiirostris	range	0	360	17682	0.027083
Catharus aurantiirostris	range	0	360	17683	0.039205
Catharus aurantiirostris	range	0	360	17684	0.061257
Catharus aurantiirostris	range	0	360	17685	0.069146
Catharus aurantiirostris	range	0	360	17686	0.065732
Catharus aurantiirostris	range	0	360	17687	0.065732
Catharus aurantiirostris	range	0	360	17688	0.042341
